Cluster.Number	GeneID	Symbol	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
2	8099	CDK2AP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.06025914408013	NA	NA	NA
2	9425	CDYL	54.789452479938724	NA	NA	NA	20.115595879693426	11.998761399104396	NA	NA	43.84543337307715	NA	NA	NA	NA	21.337710083686442	NA	NA	6.030161905052233	5.77146528586365	NA	NA
2	1107	CHD3	NA	NA	NA	12.289882810324483	17.603675543198168	NA	NA	NA	8.189928286622168	8.799794405477302	NA	NA	NA	NA	NA	NA	6.613843326209917	13.539600838592952	35.97508380340637	NA
2	1108	CHD4	8.887581936543285	9.255297717714233	5.888365077410283	13.037891632732634	1.2829794902506861	1.6240822111686655	12.000904387558617	11.714539646781633	1.7997342380060577	17.84480547628394	3.0603758411739466	3.3203661570355925	21.952932029983142	5.475357289969888	NA	NA	11.751638276952459	18.40418205591044	9.561542705597192	3.38769071
2	26038	CHD5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	79901	CYBRD1	NA	NA	NA	NA	23.772804999712356	NA	NA	NA	NA	NA	NA	NA	NA	9.651853007441506	NA	NA	NA	NA	NA	NA
2	58516	FAM60A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	57798	GATAD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	54815	GATAD2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	57459	GATAD2B	NA	NA	NA	NA	1.1558836743778418	5.221286227294161	NA	NA	NA	NA	NA	NA	16.50915083103939	4.02773781486705	NA	NA	0.42684467485147515	0.7871026070612847	NA	NA
2	3065	HDAC1	23.492009273210577	37.40938504544411	2.323060794901753	14.83435007886886	14.283065574804462	13.2118482573488	4.702699402542949	7.257994655785259	9.158570190547154	16.30752262318228	12.064070799938712	100	7.8930332369997505	14.458766342731959	NA	NA	14.156293005344917	13.532484432755549	97.41386742081136	100
2	3066	HDAC2	20.402261493585236	13.038093849098365	6.910118540118631	22.00285728393447	6.1477145420783454	15.910459182760519	9.83698210405055	10.503109017675872	4.857252379919016	7.415403966555084	12.527956347912276	7.368085746055051	12.700736601515	13.40800986021012	2.9533379591048545	6.719476357385266	21.11200684597035	11.390307154260409	NA	NA
2	10363	HMG20A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	10362	HMG20B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	3621	ING1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	3622	ING2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	5927	KDM5A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.990224035651778	NA	NA	NA
2	23199	KIAA0182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	8932	MBD2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.3407627648494	NA	NA	6.408585189438628	NA	NA	9.665084172210076	1.599632483086025	16.311173952328755	34.71938582
